CD_MUN,NM_MUN,CNAE_section,MPI
4311718,Maçambará,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.002477819754951664
4311734,Mampituba,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005898139949275149
4311759,Manoel Viana,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.003181532006975206
4311775,Maquiné,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008790372201000813
4311791,Maratá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04135002754768328
4311809,Marau,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018402613748065254
4311908,Marcelino Ramos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008375747007193955
4311981,Mariana Pimentel,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017647393180668526
4312054,Marques de Souza,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02013164695232908
4312104,Mata,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005111280133655774
4312138,Mato Castelhano,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018790538225612496
4312153,Mato Leitão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02377985412179275
4312203,Maximiliano de Almeida,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00894161072084839
4312252,Minas do Leão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.020178906266227686
4312302,Miraguaí,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008511860716766387
4312351,Montauri,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01890187407502848
4312377,Monte Alegre dos Campos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012558608261815322
4312385,Monte Belo do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.031096887462912056
4312401,Montenegro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03377836512814061
4312427,Mormaço,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01803902581670327
